Begin Down, End Down
2.88182, 2.91472
3.01543, 3.04476
3.08562, 3.11516
3.14331, 3.16901
3.19953, 3.23054
64.5035, 64.5498
64.5888, 64.613
64.6426, 64.6665
64.6975, 64.7209
64.7495, 64.7728
64.7966, 64.8182
64.8447, 64.8668
64.8908, 64.9128
64.936, 64.9579
64.9832, 65.0048
65.0276, 65.0494
65.0716, 65.0932
65.1183, 65.1408
65.1646, 65.1869
65.2094, 65.2314
65.2562, 65.2809
65.3033, 65.324
65.3489, 65.367
65.3888, 65.4074
65.4322, 65.4508
65.4751, 65.4923
65.5143, 65.5314
65.5539, 65.5709
65.5971, 65.614
65.6361, 65.6534
70.3829, 70.4194
70.4523, 70.4762
70.5077, 70.5304
70.5557, 70.5787
70.6073, 70.63
70.6583, 70.6813
70.7057, 70.728
70.7513, 70.7791
70.8039, 70.8263
70.8602, 70.8898
70.9157, 70.934
70.9593, 70.9815
71.0101, 71.0378
71.064, 71.0988
71.1307, 71.1693
71.1958, 71.2363
71.2687, 71.3104
71.3336, 71.3651
71.3879, 71.4203
71.4459, 71.4778
71.5012, 71.5378
71.5602, 71.5917
71.6179, 71.6499
71.6732, 71.7039
71.7272, 71.7578
71.7835, 71.8145
71.8374, 71.8684
71.8937, 71.9247
71.9477, 71.979
72.0046, 72.0467
72.0739, 72.0981
76.9646, 77.0102
77.0479, 77.0845
77.1151, 77.1513
77.1813, 77.2181
77.2542, 77.2929
77.3249, 77.3611
77.3911, 77.4301
77.4593, 77.4969
77.522, 77.5591
77.5844, 77.6225
77.6492, 77.6864
77.7108, 77.7484
77.773, 77.8105
77.8377, 77.8754
77.9002, 77.9379
77.9641, 78.006
78.0297, 78.0677
78.0919, 78.1297
78.1583, 78.195
78.2193, 78.257
78.2818, 78.3198
78.3465, 78.377
78.4022, 78.4318
78.4552, 78.4861
78.5102, 78.5402
78.5652, 78.5959
78.6184, 78.6494
78.6752, 78.7047
78.7272, 78.7576
78.7786, 78.8086
81.5241, 81.5702
81.5979, 81.6346
81.6618, 81.6985
81.7247, 81.7616
81.7841, 81.825
81.8546, 81.9
81.94, 81.9861
82.0307, 82.0717
82.1094, 82.1509
82.1892, 82.23
82.2739, 82.3131
82.336, 82.367
82.388, 82.4195
82.4434, 82.4749
82.4991, 82.5405
82.5619, 82.5933
82.6158, 82.6388
82.664, 82.6954
82.7154, 82.7468
82.7755, 82.8068
82.8267, 82.85
82.8839, 82.9154
82.9349, 82.9654
82.9865, 83.018
83.0388, 83.07
83.0891, 83.1201
83.1382, 83.1692
83.1897, 83.2212
83.2408, 83.2723
83.2912, 83.3229
86.212, 86.26
86.2887, 86.3292
86.3517, 86.3915
86.4161, 86.4545
86.4783, 86.5153
86.5381, 86.5768
86.6016, 86.6384
86.6621, 86.7074
86.7385, 86.776
86.7998, 86.8404
86.8609, 86.9013
86.9229, 86.9596
86.9916, 87.029
87.0522, 87.0909
87.1142, 87.1528
87.1743, 87.213
87.2348, 87.2728
87.295, 87.3331
87.3542, 87.3861
87.4057, 87.4367
87.458, 87.4891
87.5082, 87.5395
87.5593, 87.5893
87.6136, 87.6447
87.6648, 87.6958
87.7157, 87.7554
87.7777, 87.8095
87.8287, 87.8602
87.8816, 87.9126
87.9321, 87.9617
87.9818, 88.0133
88.0414, 88.0726
91.494, 91.5281
91.5557, 91.5944
91.6182, 91.7593
91.7819, 91.8216
91.8458, 91.8831
91.9068, 91.9451
91.967, 92.0051
92.0284, 92.0655
92.088, 92.1252
92.1457, 92.1824
92.203, 92.2402
92.2688, 92.3062
92.3284, 92.3652
92.3856, 92.417
92.44, 92.4781
92.5029, 92.5349
92.5557, 92.5884
92.6185, 92.6495
92.6704, 92.7
92.7224, 92.7535
92.7739, 92.8052
92.8317, 92.8632
92.8862, 92.9162
92.9371, 92.9672
92.9886, 93.0186
93.0412, 93.0712
93.0905, 93.122
93.1425, 93.1731
93.1956, 93.2266
93.2479, 93.2775
93.299, 93.3291
102.485, 102.543
102.575, 102.614
102.642, 102.681
102.703, 102.742
102.765, 102.804
102.828, 102.868
102.891, 102.931
102.955, 102.993
103.015, 103.054
103.076, 103.115
103.137, 103.176
103.197, 103.236
103.257, 103.299
103.322, 103.361
103.382, 103.413
103.433, 103.463
103.485, 103.516
103.537, 103.568
103.594, 103.629
103.657, 103.681
103.714, 103.745
103.765, 103.795
103.892, 103.917
103.937, 103.968
103.99, 104.022
104.041, 104.073
104.093, 104.124
104.146, 104.178
104.198, 104.229
104.248, 104.279
107.028, 107.061
107.09, 107.129
107.175, 107.198
107.219, 107.257
107.281, 107.318
107.341, 107.379
107.399, 107.438
107.458, 107.496
107.518, 107.557
107.583, 107.62
107.665, 107.71
107.752, 107.798
107.824, 107.872
107.9, 107.939
107.966, 108.003
108.026, 108.065
108.088, 108.126
108.15, 108.179
108.208, 108.228
108.269, 108.307
108.328, 108.367
108.387, 108.416
108.439, 108.478
108.5, 108.53
108.55, 108.581
108.606, 108.627
108.655, 108.685
108.709, 108.74
108.76, 108.791
108.81, 108.841
111.532, 111.571
111.596, 111.634
111.657, 111.695
111.716, 111.755
111.779, 111.817
111.838, 111.876
111.899, 111.937
111.959, 111.996
112.017, 112.054
112.078, 112.116
112.136, 112.173
112.194, 112.23
112.257, 112.29
112.338, 112.375
112.395, 112.426
112.447, 112.488
112.509, 112.54
112.56, 112.59
112.611, 112.643
112.662, 112.693
112.715, 112.746
112.766, 112.797
112.816, 112.848
112.869, 112.9
112.932, 112.963
112.983, 113.014
113.036, 113.067
113.087, 113.119
113.138, 113.169
113.19, 113.221
113.241, 113.272
113.291, 113.322
116.054, 116.087
116.117, 116.139
116.175, 116.212
116.237, 116.275
116.297, 116.334
116.354, 116.392
116.415, 116.452
116.496, 116.532
116.558, 116.595
116.618, 116.655
116.677, 116.714
116.737, 116.773
116.794, 116.831
116.852, 116.889
116.912, 116.949
116.97, 117.007
117.028, 117.066
117.088, 117.126
117.147, 117.185
117.205, 117.253
117.275, 117.314
117.335, 117.373
117.393, 117.428
117.449, 117.48
117.499, 117.53
117.552, 117.582
117.601, 117.63
117.65, 117.679
117.7, 117.731
117.75, 117.781
117.8, 117.838
120.597, 120.648
120.678, 120.715
120.743, 120.781
120.803, 120.841
120.863, 120.901
120.925, 120.965
120.987, 121.026
121.047, 121.085
121.119, 121.157
121.178, 121.217
121.238, 121.278
