Begin Mid, End Mid
2.68193, 2.79864
2.8624, 2.95823
3.01396, 3.04958
3.08129, 3.09749
3.14184, 3.15714
3.19478, 3.21015
64.5007, 64.5527
64.5844, 64.6092
64.6379, 64.6608
64.6932, 64.7157
64.7437, 64.7622
64.7956, 64.8139
64.8428, 64.8611
64.8889, 64.907
64.9345, 64.9523
64.9813, 64.9995
65.0257, 65.0439
65.0697, 65.088
65.1169, 65.1345
65.1627, 65.1807
65.2075, 65.2257
65.2547, 65.2723
65.3018, 65.3196
65.348, 65.366
65.3879, 65.4065
65.4313, 65.4494
65.4741, 65.4923
65.5133, 65.5314
65.5529, 65.5709
65.5957, 65.614
65.6352, 65.6534
70.3791, 70.415
70.448, 70.4713
70.5018, 70.5204
70.5538, 70.5777
70.6064, 70.6247
70.6564, 70.6742
70.7038, 70.7217
70.7499, 70.7676
70.8029, 70.8254
70.8583, 70.8805
70.9143, 70.9368
70.9563, 70.9864
71.0082, 71.0302
71.0616, 71.0837
71.1288, 71.1519
71.192, 71.2101
71.2611, 71.2812
71.3326, 71.3503
71.3874, 71.4058
71.445, 71.4634
71.5002, 71.5187
71.5593, 71.5774
71.617, 71.6351
71.6718, 71.6898
71.7263, 71.7439
71.7826, 71.8008
71.8365, 71.8542
71.8928, 71.9109
71.9458, 71.9637
72.0022, 72.0337
72.0724, 72.1039
76.9551, 76.9873
77.0412, 77.0646
77.1098, 77.1333
77.1761, 77.208
77.2489, 77.2724
77.3196, 77.3424
77.3854, 77.4082
77.4574, 77.4803
77.5211, 77.5438
77.5834, 77.6086
77.6483, 77.6707
77.7098, 77.7321
77.7721, 77.7942
77.8367, 77.859
77.8992, 77.921
77.9632, 77.9854
78.0287, 78.0509
78.091, 78.1133
78.1569, 78.1792
78.2184, 78.2402
78.2809, 78.3026
78.3451, 78.3631
78.4013, 78.4194
78.4542, 78.4801
78.5087, 78.531
78.5623, 78.5814
78.6175, 78.6356
78.6742, 78.6922
78.7262, 78.7443
78.7771, 78.795
81.5231, 81.5702
81.5937, 81.6128
81.6561, 81.6753
81.7181, 81.7361
81.7808, 81.7993
81.8508, 81.87
81.9372, 81.9687
82.0279, 82.0488
82.107, 82.1262
82.1862, 82.2042
82.2721, 82.2903
82.336, 82.3542
82.388, 82.4061
82.4434, 82.4619
82.4962, 82.5271
82.5599, 82.5905
82.6139, 82.6449
82.664, 82.6954
82.7154, 82.7468
82.77, 82.8012
82.8267, 82.8616
82.8839, 82.9069
82.9349, 82.9575
82.9865, 83.0093
83.0378, 83.0602
83.0891, 83.1115
83.1382, 83.1592
83.1897, 83.2118
83.2408, 83.2631
83.2912, 83.3135
86.2058, 86.26
86.2873, 86.323
86.3517, 86.3915
86.4161, 86.4545
86.4768, 86.5153
86.5367, 86.5754
86.6001, 86.6384
86.6621, 86.7098
86.7323, 86.7746
86.7989, 86.8375
86.86, 86.8976
86.9205, 86.9592
86.9907, 87.0137
87.0513, 87.0726
87.1132, 87.1347
87.1733, 87.1951
87.2338, 87.2553
87.2936, 87.3151
87.3528, 87.3718
87.4043, 87.4223
87.4571, 87.4753
87.5073, 87.5252
87.5583, 87.5761
87.6118, 87.63
87.6629, 87.6809
87.7148, 87.7324
87.7753, 87.7931
87.8277, 87.8452
87.8806, 87.8982
87.9311, 87.9489
87.9809, 87.9984
88.04, 88.0579
91.4916, 91.531
91.5557, 91.5787
91.6182, 91.6402
91.7804, 91.8024
91.8443, 91.8664
91.9068, 91.9283
91.967, 91.9885
92.0274, 92.0494
92.0856, 92.1076
92.1443, 92.1662
92.202, 92.2305
92.2678, 92.2914
92.3274, 92.3494
92.3846, 92.4028
92.439, 92.4568
92.5029, 92.5216
92.5548, 92.5727
92.6171, 92.6347
92.669, 92.6872
92.7215, 92.7391
92.7729, 92.791
92.8308, 92.8484
92.8852, 92.9033
92.9362, 92.9543
92.9872, 93.0054
93.0397, 93.0578
93.0905, 93.1087
93.1416, 93.1592
93.1946, 93.2126
93.2465, 93.2647
93.2981, 93.3161
102.467, 102.505
102.569, 102.593
102.637, 102.66
102.701, 102.724
102.763, 102.786
102.827, 102.85
102.889, 102.91
102.953, 102.983
103.014, 103.037
103.074, 103.098
103.136, 103.159
103.196, 103.219
103.255, 103.281
103.32, 103.343
103.381, 103.399
103.432, 103.45
103.484, 103.502
103.535, 103.553
103.591, 103.622
103.654, 103.685
103.707, 103.739
103.764, 103.795
103.864, 103.895
103.937, 103.96
103.99, 104.013
