Begin Mid, Begin Up, Begin Down, End Mid, End Up, End Down
4.82027, 4.81839, 4.82258, 5.17028, 5.13018, 5.17028
5.19703, 5.19898, 5.20178, 5.44282, 5.46727, 5.46727
5.48829, 5.48829, 5.49255, 5.74966, 5.73198, 5.73876
5.77738, 5.78353, 5.81503, 5.95382, 5.98728, 6.00495
6.02646, 6.0317, 6.0317, 6.18529, 6.23404, 6.22357
6.25213, 6.25737, 6.32505, 6.40789, 6.42654, 6.47425
6.49471, 6.50037, 6.50135, 6.65815, 6.66626, 6.67108
6.69608, 6.70132, 6.70279, 6.84576, 6.86784, 6.86784
6.89221, 6.95752, 7.05586, 7.05398, 7.11111, 7.20317
7.22992, 7.23139, 7.40125, 7.3993, 7.3993, 7.51364
7.53892, 7.6562, 7.69775, 7.69587, 7.81608, 7.848
7.87468, 8.03791, 8.20254, 8.03644, 8.20065, 8.36905
8.40104, 8.40572, 8.583, 8.583, 8.58104, 8.74623
8.77361, 9.03756, 9.20561, 9.2142, 9.20421, 9.35452
9.37876, 9.38072, 9.53717, 9.53522, 9.54101, 9.69021
9.73449, 9.73596, 9.88767, 9.88627, 9.91728, 10.0351
10.0661, 10.068, 10.2426, 10.2407, 10.2631, 10.3883
10.4145, 10.4159, 10.5724, 10.587, 10.571, 10.7167
10.7425, 10.7425, 10.8973, 10.8958, 10.9071, 11.042
11.1568, 11.5583, 11.7417, 11.8409, 11.7399, 11.8986
11.9264, 11.9333, 12.0904, 12.098, 12.089, 12.2389
12.2627, 12.2661, 12.2676, 12.4264, 12.4317, 12.5108
12.5357, 12.5395, 12.5395, 12.7213, 12.7213, 12.7068
12.7449, 12.7449, 12.7449, 12.9232, 12.8999, 12.9232
12.9463, 12.9463, 12.9463, 13.096, 13.126, 13.126
13.147, 13.1499, 13.1499, 13.2955, 13.3285, 13.3285
13.3522, 13.3522, 13.3522, 13.5247, 13.5047, 13.5247
13.5474, 13.5474, 13.5474, 13.7019, 13.7158, 13.7158
13.7401, 13.7401, 13.7401, 13.8896, 13.9111, 13.9111
13.9365, 13.9365, 13.9365, 14.0906, 14.1054, 14.1054
14.1288, 14.1288, 14.1288, 14.3022, 14.3107, 14.3107
14.373, 14.373, 14.373, 14.528, 14.5395, 14.5395
14.5636, 14.5636, 14.5636, 14.727, 14.7174, 14.727
14.7508, 14.7508, 14.7508, 14.9, 14.9162, 14.9162
15.0908, 15.0918, 15.0918, 15.245, 15.246, 15.3692
15.3971, 15.3985, 15.5531, 15.5512, 15.5826, 15.704
15.7316, 15.7316, 15.733, 15.8881, 15.9341, 15.8485
15.9642, 15.9651, 15.9666, 16.0648, 16.1605, 16.1135
16.1828, 16.1842, 16.1842, 16.2805, 16.3791, 16.3316
16.4007, 16.4022, 16.4022, 16.501, 16.5663, 16.563
16.5921, 16.5921, 16.5935, 16.691, 16.7539, 16.7438
16.7767, 16.7767, 16.7781, 16.874, 16.9249, 16.937
16.9611, 16.9611, 16.9625, 17.0602, 17.1142, 17.1209
17.1428, 17.1475, 17.2291, 17.3051, 17.3027, 17.3442
17.3676, 17.3728, 17.3752, 17.5141, 17.6076, 17.6076
17.6347, 17.6361, 17.6361, 17.7804, 17.87, 17.87
17.8918, 17.8933, 17.8933, 18.0373, 18.126, 18.1275
18.1493, 18.1493, 18.1493, 18.3058, 18.3894, 18.3894
18.4204, 18.4204, 18.4218, 18.5682, 18.5925, 18.5925
18.6198, 18.6207, 18.6207, 18.7663, 18.8154, 18.7808
18.8422, 18.8459, 18.9455, 18.9915, 18.9437, 19.04
19.0699, 19.0699, 19.0723, 19.2349, 19.2369, 19.2606
19.2842, 19.2842, 19.2856, 19.4512, 19.4502, 19.4806
19.5037, 19.5037, 19.5051, 19.6664, 19.6664, 19.7183
19.7426, 19.7426, 19.744, 19.9082, 19.9082, 19.9574
19.9798, 19.9798, 19.9798, 20.1432, 20.1432, 20.1918
20.2172, 20.2172, 20.2172, 20.4304, 20.3811, 20.3811
20.4533, 20.4542, 20.4542, 20.6164, 20.6073, 20.6164
20.6387, 20.6406, 20.6406, 20.7873, 20.8044, 20.8044
20.8325, 20.8325, 20.8325, 20.983, 20.9986, 20.9986
21.0206, 21.0234, 21.0234, 21.1714, 21.1878, 21.1878
21.2108, 21.2122, 21.2122, 21.362, 21.3762, 21.3762
21.3991, 21.4005, 21.4005, 21.549, 21.5666, 21.5666
21.7072, 21.7072, 21.7072, 21.8605, 21.8721, 21.8721
21.8983, 21.8983, 22.0644, 22.0625, 22.0625, 22.1649
22.2164, 22.2164, 22.2179, 22.3755, 22.3989, 22.4748
22.5061, 22.5061, 22.6308, 22.6293, 22.7048, 22.7784
22.8021, 22.8031, 22.806, 22.9553, 23.0005, 22.9916
23.028, 23.028, 23.2038, 23.2234, 23.2019, 23.3492
23.3754, 23.3788, 23.5251, 23.5237, 23.5612, 23.6797
23.7098, 23.7131, 23.8079, 23.8678, 23.883, 23.9842
24.0104, 24.0148, 24.0148, 24.1803, 24.1803, 24.1893
24.2241, 24.2256, 24.2308, 24.3772, 24.4044, 24.4058
24.4272, 24.4344, 24.443, 24.5821, 24.6111, 24.6087
24.6353, 24.6404, 24.6414, 24.794, 24.8995, 24.8208
24.93, 24.9314, 24.9314, 25.0903, 25.0807, 25.115
25.1445, 25.1445, 25.1458, 25.2593, 25.2937, 25.3169
25.3503, 25.3503, 25.3518, 25.4479, 25.4976, 25.5276
25.5554, 25.5568, 25.5582, 25.6596, 25.7046, 25.7375
