Time, Time Step, Voltage 1, Voltage 2, Voltage 3, Voltage 4, Voltage 5, Voltage 6, Voltage 7, Current 1
0.00000000000000000000e+00, 0.00000000000000000000e+00, 5.00000000000000000000e+00, 2.45081967230802177937e+00, 2.45081967230802266755e+00, 2.45081967230802266755e+00, 2.45081967230802222346e+00, 2.45081967230802222346e+00, 2.45081967230802177937e+00, -9.64686865089941928200e-04
5.00000000000000050528e-12, 5.00000000000000050528e-12, 5.00000000000000000000e+00, 2.45081967230802177937e+00, 2.45081967230802266755e+00, 2.45081967230802266755e+00, 2.45081967230802133528e+00, 2.45081967230802222346e+00, 2.45081967230802177937e+00, -9.64686865089941494519e-04
1.49999999999999999002e-11, 1.00000000000000010106e-11, 5.00000000000000000000e+00, 2.45081967230802177937e+00, 2.45081967230802311164e+00, 2.45081967230802266755e+00, 2.45081967230802133528e+00, 2.45081967230802222346e+00, 2.45081967230802177937e+00, -9.64686865089941711360e-04
3.50000000000000019214e-11, 2.00000000000000020211e-11, 5.00000000000000000000e+00, 2.45081967230802177937e+00, 2.45081967230802311164e+00, 2.45081967230802311164e+00, 2.45081967230802133528e+00, 2.45081967230802222346e+00, 2.45081967230802177937e+00, -9.64686865089941711360e-04
7.49999999999999995012e-11, 4.00000000000000040422e-11, 5.00000000000000000000e+00, 2.45081967230802177937e+00, 2.45081967230802355573e+00, 2.45081967230802311164e+00, 2.45081967230802044710e+00, 2.45081967230802177937e+00, 2.45081967230802222346e+00, -9.64686865089941277679e-04
1.55000000000000007586e-10, 8.00000000000000080845e-11, 5.00000000000000000000e+00, 2.45081967230802222346e+00, 2.45081967230802266755e+00, 2.45081967230802311164e+00, 2.45081967230802089119e+00, 2.45081967230802222346e+00, 2.45081967230802355573e+00, -9.64686865089941169259e-04
3.15000000000000049604e-10, 1.60000000000000016169e-10, 5.00000000000000000000e+00, 2.45081967230802222346e+00, 2.45081967230802266755e+00, 2.45081967230802311164e+00, 2.45081967230802089119e+00, 2.45081967230802177937e+00, 2.45081967230802266755e+00, -9.64686865089941277679e-04
6.35000000000000081942e-10, 3.20000000000000032338e-10, 5.00000000000000000000e+00, 2.45081967230802177937e+00, 2.45081967230802177937e+00, 2.45081967230802222346e+00, 2.45081967230802089119e+00, 2.45081967230802133528e+00, 2.45081967230802311164e+00, -9.64686865089943012402e-04
1.13500000000000011308e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802222346e+00, 2.45081967230802177937e+00, 2.45081967230802222346e+00, 2.45081967230802133528e+00, 2.45081967230802133528e+00, 2.45081967230802311164e+00, -9.64686865089941494519e-04
1.63500000000000024762e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802266755e+00, 2.45081967230802133528e+00, 2.45081967230802222346e+00, 2.45081967230802133528e+00, 2.45081967230802133528e+00, 2.45081967230802355573e+00, -9.64686865089941060838e-04
2.13500000000000017536e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802355573e+00, 2.45081967230802044710e+00, 2.45081967230802177937e+00, 2.45081967230802133528e+00, 2.45081967230802133528e+00, 2.45081967230802444391e+00, -9.64686865089941060838e-04
2.63500000000000010311e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802355573e+00, 2.45081967230802044710e+00, 2.45081967230802133528e+00, 2.45081967230802311164e+00, 2.45081967230802222346e+00, 2.45081967230802311164e+00, -9.64686865089941386099e-04
