Begin Up, End Up
2.68291, 2.80569
2.88182, 2.92394
3.01396, 3.05391
3.08227, 3.09847
3.14184, 3.17041
3.19618, 3.21252
64.5007, 64.5421
64.5844, 64.605
64.6388, 64.6585
64.6942, 64.7128
64.7447, 64.768
64.7956, 64.8182
64.8428, 64.8649
64.8889, 64.9113
64.9345, 64.9565
64.9813, 65.0033
65.0257, 65.0471
65.0697, 65.0918
65.1169, 65.1423
65.1627, 65.185
65.2075, 65.2295
65.2547, 65.2761
65.3018, 65.3225
65.348, 65.366
65.3879, 65.4102
65.4313, 65.4494
65.4741, 65.4923
65.5133, 65.5314
65.5529, 65.5709
65.5957, 65.614
65.6352, 65.6534
70.3791, 70.4194
70.448, 70.4669
70.5028, 70.5257
70.5538, 70.5829
70.6073, 70.63
70.6564, 70.679
70.7057, 70.728
70.7499, 70.7724
70.8029, 70.8354
70.8583, 70.8805
70.9143, 70.9368
70.9573, 70.9787
71.0082, 71.0369
71.0631, 71.0813
71.1288, 71.1547
71.192, 71.2144
71.2635, 71.3046
71.3336, 71.3651
71.3879, 71.4203
71.4459, 71.4778
71.5012, 71.5341
71.5602, 71.5917
71.6179, 71.6499
71.6718, 71.7039
71.7263, 71.7578
71.7826, 71.8145
71.8365, 71.8684
71.8928, 71.9247
71.9477, 71.979
72.0022, 72.0337
72.0724, 72.1039
76.9589, 77.0102
77.0441, 77.0845
77.1112, 77.1513
77.177, 77.2162
77.2499, 77.2939
77.321, 77.3601
77.3854, 77.4259
77.4593, 77.4969
77.5211, 77.5591
77.5844, 77.6225
77.6483, 77.6864
77.7108, 77.7484
77.773, 77.8105
77.8377, 77.8754
77.9002, 77.9379
77.9641, 78.0037
78.0297, 78.0677
78.0919, 78.1297
78.1569, 78.195
78.2193, 78.257
78.2818, 78.3198
78.3451, 78.3799
78.4013, 78.4318
78.4552, 78.4861
78.5102, 78.5412
78.5652, 78.5959
78.6184, 78.6494
78.6742, 78.7047
78.7272, 78.7576
78.7786, 78.8086
81.5231, 81.5518
81.5937, 81.6346
81.6575, 81.6976
81.7204, 81.7606
81.7841, 81.8288
81.8546, 81.9
81.94, 81.9884
82.0307, 82.0717
82.1094, 82.1509
82.1892, 82.23
82.2739, 82.3131
82.336, 82.367
82.388, 82.4195
82.4434, 82.4749
82.4962, 82.5271
82.5599, 82.5905
82.6139, 82.6449
82.664, 82.6868
